,字节跳动,数据产品经理,北京,2-3.5万/月,09-03
315,广州市融久信息技术有限公司,数据产品经理,广州-增城,0.8-1万/月,09-03
316,江苏亿科达科技发展有限公司,数据产品经理,南京,3-6千/月,09-03
317,武汉美特诺科技发展有限公司,数据产品经理,武汉-武昌区,2-2.5万/月,09-03
318,北京海鑫科金高科技股份有限公司,数据产品经理,济南,5-8千/月,09-03
319,北京翔睿信诚科技有限公司,数据产品经理,北京-朝阳区,1-2万/月,09-03
320,佛山电器照明股份有限公司,数据产品经理,佛山-禅城区,4.5-5千/月,09-03
321,中资宏德资本管理有限公司,数据产品经理,大连-沙河口区,4.5-6千/月,09-03
322,南京地平线机器人技术有限公司,数据产品经理,南京-栖霞区,4.5-6千/月,09-03
323,天津市亿人科技发展有限公司,数据产品经理,天津-西青区,3-4.5千/月,09-03
324,河北世窗信息技术股份有限公司,数据产品经理,沧州,4.5-6千/月,09-03
325,江苏天赢送变电工程有限公司,数据产品经理,南京-浦口区,4-6千/月,09-03
326,中国保险信息技术管理有限责任公司...,数据产品经理,北京,1-2万/月,09-03
327,皮尔法伯（上海）化妆品贸易有限公...,数据产品经理,上海,,09-03
328,湖北天下汇食品营销有限公司,数据产品经理,武汉-武昌区,6-8千/月,09-03
329,江苏怡亚通新鹏供应链管理有限公司...,数据产品经理,扬州,4-6千/月,09-03
330,昆明源玲美容有限公司,数据产品经理,昆明-盘龙区,3-5千/月,09-03
331,河南诺万信息技术有限公司,数据产品经理,郑州-郑东新区,6-8千/月,09-03
332,广东华讯工程有限公司,数据产品经理,广州-越秀区,1.1-1.5万/月,09-03
333,健合集团—BNC事业部,数据产品经理,广州-天河区,4.5-6千/月,09-03
334,武汉八维时空信息技术股份有限公司...,数据产品经理,武汉-武昌区,1-1.5万/月,09-03
335,四川金熊猫新媒体有限公司,数据产品经理,成都,0.6-1.2万/月,09-03
336,北京兴长信达科技发展有限公司,数据产品经理,上海-长宁区,1-2万/月,09-03
337,广东宇成达通信科技有限公司,数据产品经理,广州-越秀区,8-10万/年,09-03
338,深圳市恒源昊信息科技有限公司,数据产品经理,深圳-南山区,6-8千/月,09-03
339,上海天会皓闻信息科技有限公司,数据产品经理,上海,4-5千/月,09-03
340,四川科瑞德制药股份有限公司,数据产品经理,成都-武侯区,2-2.5万/月,09-03
341,西安易流物联科技有限公司,数据产品经理,西安-高新技术...,1-2万/月,09-03
342,西安周吉堂生物科技有限公司,数据产品经理,贵阳,4-8千/月,09-03
343,合众人寿保险股份有限公司广东分公...,数据产品经理,广州-天河区,5-6.5千/月,09-03
344,华厦外包服务（大连）股份有限公司...,数据产品经理,大连-金州区,2.5-3.5千/月,09-03
345,深圳市海晨物流有限公司,数据产品经理,深圳-南山区,0.8-1.5万/月,09-03
346,东方财富信息股份有限公司,数据产品经理,上海-徐汇区,1-1.5万/月,09-03
347,江苏恩华药业股份有限公司,数据产品经理,徐州,6-9千/月,09-03
348,中国电信河南公司,数据产品经理,郑州,,09-03
349,迪比信可信息技术服务（南京）有限...,数据产品经理,南京-玄武区,15-20万/年,09-03
350,北京中电普华信息技术有限公司,数据产品经理,北京-西城区,1-1.5万/月,09-03
351,广州汛芯网络技术有限公司,数据产品经理,广州-天河区,4-6千/月,09-03
352,上海群丽信息科技有限责任公司,数据产品经理,上海-长宁区,6-8千/月,09-03
353,信用飞,数据产品经理,上海-长宁区,1.5-3万/月,09-03
354,指南者教育,数据产品经理,常州,200元/天,09-03
355,广州市依玛力服饰有限公司,数据产品经理,广州-白云区,3.8-5.5千/月,09-03
356,四川成享软件股份有限公司,数据产品经理,成都-高新区,1-1.5万/月,09-03
357,纷美（北京）贸易有限公司,数据产品经理,北京-朝阳区,0.8-1万/月,09-03
358,武汉爱博泰克生物科技有限公司,数据产品经理,武汉,3-4.5千/月,09-03
359,伦琴（上海）医疗科技有限公司,数据产品经理,上海-杨浦区,1.8-2.5万/月,09-03
360,中国囍联集团股份有限公司,数据产品经理,重庆-九龙坡区,1.2-2万/月,09-03
361,南京绛门信息科技股份有限公司,数据产品经理,重庆,1-1.5万/月,09-03
362,西安弘文投资管理有限公司,数据产品经理,西安-雁塔区,6-8千/月,09-03
363,广东东湖棋院,数据产品经理,广州-越秀区,4-6千/月,09-03
364,比户环保科技（深圳）有限公司,数据产品经理,深圳-龙岗区,4.5-6千/月,09-03
365,鼎捷软件股份有限公司【原神州数码...,数据产品经理,广州,1-1.5万/月,09-03
366,广州儿童棋院,数据产品经理,广州,4-6千/月,09-03
367,舍住（上海）信息技术有限公司,数据产品经理,上海-静安区,10-15万/年,09-03
368,广州诚迈信息科技有限公司,数据产品经理,广州-天河区,1.5-2万/月,09-03
369,上海恒格信息科技有限公司,数据产品经理,异地招聘,1.2-1.8万/月,09-03
370,苏州凌点生物技术有限公司,数据产品经理,异地招聘,0.6-2万/月,09-03
371,上海蓝橙网络科技有限公司,数据产品经理,上海-浦东新区,0.6-1万/月,09-03
372,深圳市偶家科技有限公司,数据产品经理,深圳-南山区,20元/小时,09-03
373,北京众标智能科技有限公司,数据产品经理,上海-宝山区,1-1.8万/月,09-03
374,上海晏鼠计算机技术股份有限公司,数据产品经理,上海-杨浦区,1-1.5万/月,09-03
375,云南民生食品有限公司,数据产品经理,昆明-官渡区,3-4.5千/月,09-03
376,云南高博尔教育评估中心,数据产品经理,昆明,6-8千/月,09-03
377,上海亿翔信息科技有限公司,数据产品经理,上海,4-6千/月,09-03
378,上海百秋电子商务有限公司,数据产品经理,上海-长宁区,1-1.5万/月,09-03
379,广州数驰信息科技有限公司,数据产品经理,异地招聘,1.8-2.5万/月,09-03
380,华侨城集团有限公司,数据产品经理,深圳,,09-03
381,北京创世漫道科技有限公司,数据产品经理,北京,1.5-2万/月,09-03
382,上海善则商贸有限公司,数据产品经理,沈阳-皇姑区,3-4.5千/月,09-03
383,维信金科,数据产品经理,上海-虹口区,1.5-2万/月,09-03
384,上海驻云信息科技有限公司,数据产品经理,上海-浦东新区,1.3-2万/月,09-03
385,中国广告联合有限责任公司,数据产品经理,北京-西城区,6-8千/月,09-03
386,青岛交通科技信息有限公司,数据产品经理,青岛-崂山区,5-8千/月,09-03
387,武汉智博华鑫网络科技有限公司,数据产品经理,武汉-江夏区,5-8千/月,09-03
388,广东蔚海数问大数据科技有限公司,数据产品经理,广州-天河区,0.8-1.5万/月,09-03
389,英华达（上海）科技有限公司,数据产品经理,上海,0.6-1.2万/月,09-03
390,南京牧信科技有限公司,数据产品经理,南京-江宁区,5-8千/月,09-03
391,天津车易行汽车服务有限公司上海分...,数据产品经理,上海-青浦区,6-8千/月,09-03
392,宁夏绿丰源工程咨询有限公司,数据产品经理,银川,10-15万/年,09-03
393,广州一路时尚教育科技有限公司,数据产品经理,广州-白云区,4-6千/月,09-03
394,南通东华软件有限公司,数据产品经理,北京-西城区,1.2-1.6万/月,09-03
395,广州贝壳科技服务有限公司,数据产品经理,广州,6-8千/月,09-03
396,北京华营创建实业有限公司,数据产品经理,北京-朝阳区,5-6千/月,09-03
397,福州咸鱼科技有限公司,数据产品经理,福州,6-8千/月,09-03
398,上海岱嘉医学信息系统有限公司,数据产品经理,上海,1.5-2.5万/月,09-03
399,昆山吉展工业自动化有限公司,数据产品经理,昆山,0.8-1万/月,09-03
400,北京仟草中药饮片有限公司,数据产品经理,北京-大兴区,6-8千/月,09-03
401,杭州远方科技信息有限公司,数据产品经理,杭州-拱墅区,4-6千/月,09-03
402,上海钱拓网络技术有限公司,数据产品经理,上海-浦东新区,1-1.5万/月,09-03
403,平安普惠信息服务有限公司武汉第一...,数据产品经理,武汉-青山区,10-15万/年,09-03
404,杭州迪安医学检验中心有限公司,数据产品经理,杭州-西湖区,6-8千/月,09-03
405,北京紫光数智科技股份有限公司,数据产品经理,北京,1-2万/月,09-03
406,北京易联达商务服务有限公司,数据产品经理,北京-海淀区,1.6-2.2万/月,09-03
407,深圳睿心智能医疗科技有限公司,数据产品经理,深圳-南山区,4.5-6千/月,09-03
408,苏州城方信息技术有限公司,数据产品经理,苏州-工业园区,0.8-1.6万/月,09-03
409,华为湖北区域金牌经销商,数据产品经理,武汉-洪山区,12-25万/年,09-03
410,广州市佩升前研市场信息咨询股份有...,数据产品经理,广州,3-4.5千/月,09-03
411,成都天晟云信息技术有限公司,数据产品经理,成都-高新区,1.5-2万/月,09-03
412,易居（中国）企业管理集团有限公司...,数据产品经理,上海-静安区,1.5-2万/月,09-03
413,湖南同飞电力调度信息有限责任公司...,数据产品经理,长沙-雨花区,1-1.5万/月,09-03
414,北京华晟经世信息技术有限公司,数据产品经理,西安-鄠邑区,6-8千/月,09-03
415,上海华中农投农业科技有限公司,数据产品经理,上海-青浦区,4.5-6千/月,09-03
416,北京优飞软件科技有限公司,数据产品经理,北京-朝阳区,1-1.5万/月,09-03
417,青岛科创普华信息科技发展有限公司...,数据产品经理,青岛-市北区,3-4.5千/月,09-03
418,广州市链家房地产代理有限公司,数据产品经理,广州-越秀区,6-8千/月,09-03
419,金华斯维尔网络科技有限公司,数据产品经理,异地招聘,4-6千/月,09-03
420,西安小鱼网络科技有限公司,数据产品经理,西安-高新技术...,1-1.5万/月,09-03
421,南昌高新区思诚IT人才职业培训学校...,数据产品经理,南昌-青山湖区,6-8千/月,09-03
422,武汉虹旭信息技术有限责任公司,数据产品经理,武汉-江夏区,10-15万/年,09-03
423,成都音泰思广告传媒有限公司,数据产品经理,成都-锦江区,2-3千/月,09-03
424,杭州半云科技有限公司,数据产品经理,杭州-西湖区,1-2万/月,09-03
425,广东邦鑫勘测科技股份有限公司,数据产品经理,广州,4-6千/月,09-03
426,松冷（武汉）科技有限公司,数据产品经理,武汉-江夏区,2.5-3千/月,09-03
427,哈尔滨明哲餐饮管理有限公司,数据产品经理,北京-通州区,4-7千/月,09-03
428,辽宁欧卡莎科技有限公司,数据产品经理,沈阳-于洪区,3.5-5千/月,09-03
429,天津泰达智慧城市科技有限公司,数据产品经理,天津-滨海新区,20-30万/年,09-03
430,成都华西海圻医药科技有限公司,数据产品经理,成都-高新区,5-7千/月,09-03
431,杭州日播服饰有限公司,数据产品经理,杭州-余杭区,0.8-1万/月,09-03
432,吉林省联宇合达科技有限公司,数据产品经理,长春-南关区,0.5-1.2万/月,09-03
433,上海贝塔斯曼商业服务有限公司北京...,数据产品经理,北京-朝阳区,4.5-6千/月,09-03
434,恒大旅游集团,数据产品经理,广州,1-1.5万/月,09-03
435,美的集团电子商务有限公司,数据产品经理,异地招聘,0.9-1.6万/月,09-03
436,宏利金融全球服务中心,数据产品经理,成都,3.5-4.5千/月,09-03
437,“前程无忧”51job.com（上海）,数据产品经理,上海-浦东新区,,09-03
438,中国联合网络通信有限公司深圳市分...,数据产品经理,深圳-福田区,1.5-3万/月,09-03
439,网易集团,数据产品经理,广州,1-1.5万/月,09-03
440,雅士利国际集团有限公司,数据产品经理,广州-海珠区,1-1.5万/月,09-03
441,携程旅行网支持区,数据产品经理,上海-长宁区,1.2-2.4万/月,09-03
442,中国电信研究院（网络与信息安全研...,数据产品经理,上海-浦东新区,45-55万/年,09-03
443,中国电信股份有限公司上海分公司,数据产品经理,上海-浦东新区,1-1.5万/月,09-03
444,中国太平洋保险（集团）股份有限公...,数据产品经理,上海-徐汇区,15-25万/年,09-03
445,家得宝投资管理（上海）有限公司,数据产品经理,深圳-福田区,,09-03
446,海尔集团金融控股有限公司,数据产品经理,重庆-江北区,1-1.5万/月,09-03
447,杉德支付网络服务发展有限公司,数据产品经理,上海-徐汇区,2-2.5万/月,09-03
448,360金融,数据产品经理,上海-浦东新区,1-2万/月,09-03
449,中软国际科技服务有限公司,数据产品经理,南京-雨花台区,2-3千/月,09-03
450,杉德巍康企业服务有限公司,数据产品经理,上海-徐汇区,1-2万/月,09-03
451,中联重科土方机械分公司,数据产品经理,长沙-岳麓区,12-20万/年,09-03
452,瑞庭网络技术（上海）有限公司广州...,数据产品经理,广州-天河区,1-1.5万/月,09-03
453,郑州思念食品有限公司,数据产品经理,郑州-惠济区,4-6千/月,09-03
454,马应龙药业集团股份有限公司,数据产品经理,武汉-洪山区,1-1.5万/月,09-03
455,中国船舶重工集团南京鹏力科技集团...,数据产品经理,南京,0.8-1万/月,09-03
456,国药控股分销中心有限公司,数据产品经理,上海-长宁区,,09-03
457,上交所技术有限责任公司,数据产品经理,上海-浦东新区,,09-03
458,浙江爱信诺航天信息有限公司,数据产品经理,杭州,1-1.5万/月,09-03
459,途虎养车网,数据产品经理,上海-闵行区,5-8千/月,09-03
460,无锡元坤资产管理有限公司,数据产品经理,无锡-滨湖区,0.8-1.2万/月,09-03
461,深圳市乔恩斯科技有限公司,数据产品经理,深圳-龙华新区,4.5-8千/月,09-03
462,西安互动未来信息技术有限公司,数据产品经理,西安-雁塔区,3-4千/月,09-03
463,卫盈联信息技术（深圳）有限公司,数据产品经理,深圳-南山区,2-2.5万/月,09-03
464,凯通科技股份有限公司,数据产品经理,广州-黄埔区,1.8-2万/月,09-03
465,广东广播电视台南方购物,数据产品经理,广州-白云区,0.8-1.5万/月,09-03
466,湖南萌兔旅游科技有限公司,数据产品经理,长沙-开福区,3-4.5千/月,09-03
467,重庆讯云网络科技有限公司,数据产品经理,重庆-渝北区,0.8-1.2万/月,09-03
468,武汉嘉韵天成电子商务有限公司,数据产品经理,武汉-江汉区,3-4.5千/月,09-03
469,陕西源动力物流供应链有限责任公司...,数据产品经理,南京-秦淮区,4.5-6千/月,09-03
